MetricId	CatalogType	LongDescription
StateCountAvailable	AG	Real-time count of agents whose current Agent State is exactly "Available". Counts the raw platform state, not the status group: custom states mapped to the AVAILABLE group (e.g. "Ready-Chat") are NOT included.
StateCountOnPhone	AG	Real-time count of agents whose current Agent State is exactly "On Phone" (raw state, not the ONPHONE group).
StateCountBreak	AG	Real-time count of agents whose current Agent State is exactly "Break". States like "Lunch" or "Coffee Break" are not included even though they belong to the BREAK group.
StateCountPaperwork	AG	Real-time count of agents whose current Agent State is exactly "Paperwork" (raw state, not the PAPERWORK group).
StateCountTraining	AG	Real-time count of agents whose current Agent State is exactly "Training" (raw state, not the TRAINING group).
MonSumAgentsBreakDurationMax	AG	Real-time maximum: among agents currently in a BREAK-group state, the duration of the longest ongoing break. Highlights overstayed breaks on wallboards.
QueueNumCompletedCallbacks	Q	Counts outgoing callback interactions that were answered — i.e. the system called the customer back and the conversation took place. Closing stage of the callback lifecycle: request → dial-back → completed.
QueueNumIncomingOnlineCalls	Q	Counts every incoming external incoming voice calls interaction registered since the start of the business day, regardless of current state — waiting in queue, in progress, answered or abandoned. This is the gross inbound load (offered contacts) for the Business Unit. Unlike the 'excluding waiting' counterpart, interactions still sitting in the queue are included, so the value can grow before any agent has answered.
QueueNumIncomingOnlineCallbacks	Q	Counts every incoming callback interactions (customer-requested return calls handled by the queue) interaction registered since the start of the business day, regardless of current state — waiting in queue, in progress, answered or abandoned. This is the gross inbound load (offered contacts) for the Business Unit. Unlike the 'excluding waiting' counterpart, interactions still sitting in the queue are included, so the value can grow before any agent has answered.
QueueNumIncomingOnlineCallsAndCallbacks	Q	Counts every incoming combined voice load: external incoming calls and callbacks interaction registered since the start of the business day, regardless of current state — waiting in queue, in progress, answered or abandoned. This is the gross inbound load (offered contacts) for the Business Unit. Unlike the 'excluding waiting' counterpart, interactions still sitting in the queue are included, so the value can grow before any agent has answered.
QueueNumIncomingOnlineChats	Q	Counts every incoming incoming chat interactions interaction registered since the start of the business day, regardless of current state — waiting in queue, in progress, answered or abandoned. This is the gross inbound load (offered contacts) for the Business Unit. Unlike the 'excluding waiting' counterpart, interactions still sitting in the queue are included, so the value can grow before any agent has answered.
QueueNumAbandonedCallsAndCallbacks	Q	Counts incoming combined voice load: external incoming calls and callbacks that left the queue without being answered (caller hung up / closed the chat). Interactions that converted to a callback request are excluded, so requesting a callback is not treated as abandonment.
QueueNumAbandonedChats	Q	Counts incoming incoming chat interactions that left the queue without being answered (caller hung up / closed the chat). Interactions that converted to a callback request are excluded, so requesting a callback is not treated as abandonment.
QueueNumAbandonedInteractions	Q	Counts incoming non-voice digital interactions (chat and e-mail) that left the queue without being answered (caller hung up / closed the chat). Interactions that converted to a callback request are excluded, so requesting a callback is not treated as abandonment.
QueueNumCallbackRequests	Q	Counts customers who, instead of waiting in queue, requested a callback. These interactions are excluded from abandoned counts and from completed-volume denominators, and appear later as callback interactions when dialled back.
QueueNumAnsweredCalls	Q	Counts incoming external incoming voice calls that were successfully connected to an agent today. The interaction is counted as soon as it is answered, even if it is still in progress.
QueueNumAnsweredCalls60sec	Q	Counts incoming external incoming voice calls answered by an agent where the time in queue was less than 60 seconds. This is the numerator for Service Level calculations with a 60-second target.
QueueBaseAnsweredPct	Q	Unlike "% Answered Calls" (denominator = completed only), this variant divides answered calls by the full incoming volume including calls still in queue. During busy periods the value is "pessimistic": waiting calls already count against the queue.
QueueExclCallbackReqAnsweredPct	Q	Removes callback requests from the denominator: customers who chose a callback are not counted against the answer rate. Shows queue performance for customers who actually stayed in the queue. Note: denominator is incoming-online (includes waiting).
QueueInclCallbackReqAnsweredPct	Q	Treats a callback request as a positive outcome: numerator = answered + callback requests. The most "optimistic" answer-rate variant — useful when callback is promoted as a legitimate service path.
QueueInclCompCallbacksAnsweredPct	Q	Counts a callback as success only when it was actually completed (customer reached on dial-back), unlike the "incl. Callback Requests" variant which credits the request itself.
QueueNumOnlineChats	Q	Counts all chat interactions seen today with no additional filter: incoming and outgoing, waiting, active, answered or abandoned. Broadest possible chat counter.
QueuePctAbandonedCallbacksTotal	Q	Abandoned callback interactions (customer-requested return calls handled by the queue) divided by incoming completed callback interactions (customer-requested return calls handled by the queue). The standard Abandonment Rate KPI: a direct measure of customers lost in the queue. Callback requests are not counted as abandoned.
QueueNumIncomingHandledInteractions	Q	Counts incoming chat and e-mail interactions that have completely finished processing: they are no longer in queue, no longer being handled, and were not abandoned. Effectively "successfully handled to the end".
QueueNumAnsweredCallbacks	Q	Counts incoming callback interactions (customer-requested return calls handled by the queue) that were successfully connected to an agent today. The interaction is counted as soon as it is answered, even if it is still in progress.
QueueNumAbandonedCallbacks	Q	Counts incoming callback interactions (customer-requested return calls handled by the queue) that left the queue without being answered (caller hung up / closed the chat). Interactions that converted to a callback request are excluded, so requesting a callback is not treated as abandonment.
QueueSLAIn30secFrom80PctInc	Q	Variant of Service Level normalised against the 80/30 target: numerator = calls answered within 30 seconds, denominator = 0.8 x incoming completed calls. A value of 100% means the 80/30 SLA is exactly met; values above 100% mean over-performance. WARNING: the formula references "[QueueNumAnsweredCalls30sec ]" with a trailing space inside the brackets — verify the engine tolerates this.
